FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 11/17/2015 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Disp. Clamp 
 
 Set Point (um) 	 Actuator Position (um) 	 Piezo Position (um) 
0.000000	0.014038	-0.011780
0.000000	-0.004883	-0.011139
0.000000	-0.010986	-0.011475
0.000000	0.001221	-0.012085
0.000000	-0.004883	-0.011139
0.000000	0.007935	-0.009216
0.000000	0.001221	-0.011139
0.000000	0.001221	-0.010498
0.000000	-0.010986	-0.010834
0.000000	-0.010986	-0.011780
0.000000	-0.004883	-0.011780
0.000000	-0.017700	-0.010193
0.000000	0.007935	-0.011475
0.000000	0.007935	-0.011475
0.000000	-0.004883	-0.013062
0.000000	-0.004883	-0.012085
0.000000	-0.004883	-0.013367
0.000000	0.001221	-0.012421
0.000000	0.001221	-0.012085
0.000000	0.020752	-0.011139
0.000000	0.001221	-0.012085
0.000000	0.001221	-0.011139
0.000000	-0.017700	-0.010193
0.000000	0.007935	-0.011139
0.000000	-0.004883	-0.010834
0.000000	0.014038	-0.010834
0.000000	0.001221	-0.011475
0.000000	0.001221	-0.009857
0.000000	-0.004883	-0.011475
0.000000	-0.004883	-0.011475
0.000000	0.001221	-0.009857
0.000000	-0.004883	-0.012726
0.000000	-0.010986	-0.011780
0.000000	0.014038	-0.013702
0.000000	0.001221	-0.014648
0.000000	0.007935	-0.012421
0.000000	0.007935	-0.011475
0.000000	-0.004883	-0.010193
0.000000	-0.004883	-0.010193
0.000000	-0.004883	-0.011139
0.000000	0.020752	-0.010193
0.000000	0.007935	-0.010834
0.000000	-0.004883	-0.009857
0.000000	-0.004883	-0.011475
0.000000	0.001221	-0.010498
0.000000	-0.010986	-0.008911
0.000000	0.007935	-0.011139
0.000000	0.001221	-0.011139
0.000000	-0.004883	-0.009216
0.000000	-0.004883	-0.011139
0.000000	0.007935	-0.011475
0.000000	-0.017700	-0.012421
0.000000	-0.004883	-0.012421
0.000000	-0.004883	-0.013702
0.000000	-0.004883	-0.011475
0.000000	-0.010986	-0.011780
0.000000	-0.004883	-0.011139
0.000000	-0.004883	-0.010193
0.000000	-0.004883	-0.011139
0.000000	-0.004883	-0.012726
0.000000	0.001221	-0.010193
0.000000	0.020752	-0.012085
0.000000	0.007935	-0.009857
0.000000	-0.004883	-0.009857
0.000000	-0.004883	-0.011139
0.000000	-0.004883	-0.013062
0.000000	-0.004883	-0.010498
0.000000	-0.004883	-0.013062
0.000000	-0.010986	-0.010498
0.000000	-0.004883	-0.013702
0.000000	-0.004883	-0.010193
0.000000	-0.004883	-0.012085
0.000000	-0.004883	-0.010193
0.000000	-0.004883	-0.014648
0.000000	0.007935	-0.010498
0.000000	0.007935	-0.011475
0.000000	0.001221	-0.010193
0.000000	0.007935	-0.012726
0.000000	-0.023804	-0.010193
0.000000	-0.017700	-0.011475
0.000000	0.001221	-0.010498
0.000000	-0.004883	-0.011475
0.000000	0.007935	-0.012085
0.000000	0.014038	-0.013367
0.000000	-0.023804	-0.009857
0.000000	-0.004883	-0.011475
0.000000	-0.004883	-0.011475
0.000000	-0.010986	-0.011475
0.000000	-0.004883	-0.010498
0.000000	-0.010986	-0.012085
0.000000	-0.004883	-0.010834
0.000000	-0.004883	-0.011139
0.000000	-0.004883	-0.010193
0.000000	0.014038	-0.011475
0.000000	-0.010986	-0.008270
0.000000	0.001221	-0.012085
0.000000	0.014038	-0.011475
0.000000	0.001221	-0.012421
0.000000	-0.004883	-0.011780
0.000000	0.001221	-0.012085
0.000000	0.001221	-0.011139
0.000000	-0.004883	-0.012726
0.000000	-0.004883	-0.011475
0.000000	-0.010986	-0.012726
0.000000	0.007935	-0.010193
0.000000	0.001221	-0.011475
0.000000	0.014038	-0.011780
0.000000	-0.004883	-0.011139
0.000000	0.007935	-0.011139
0.000000	-0.004883	-0.010834
0.000000	-0.004883	-0.011139
0.000000	-0.004883	-0.009552
0.000000	0.007935	-0.009857
0.000000	-0.004883	-0.013367
0.000000	-0.023804	-0.011139
0.000000	-0.004883	-0.009857
0.000000	-0.004883	-0.014008
0.000000	0.001221	-0.011780
0.000000	0.001221	-0.012726
0.000000	0.001221	-0.012085
0.000000	0.007935	-0.011475
0.000000	-0.017700	-0.011475
0.000000	-0.004883	-0.012085
0.000000	-0.004883	-0.012726
0.000000	-0.017700	-0.011139
0.000000	0.007935	-0.010834
0.000000	0.007935	-0.011475
0.000000	-0.004883	-0.008606
0.000000	-0.004883	-0.009552
0.000000	0.007935	-0.010834
0.000000	-0.004883	-0.010193
0.000000	-0.004883	-0.011139
0.000000	0.014038	-0.012726
0.000000	-0.004883	-0.012421
0.000000	-0.004883	-0.013062
0.000000	0.001221	-0.011475
0.000000	0.020752	-0.013062
0.000000	-0.004883	-0.011139
0.000000	-0.017700	-0.012726
0.000000	0.001221	-0.010834
0.000000	0.001221	-0.010498
0.000000	-0.017700	-0.011139
0.000000	0.001221	-0.010834
0.000000	-0.004883	-0.011475
0.000000	0.001221	-0.011139
0.000000	-0.017700	-0.009857
0.000000	0.014038	-0.011475
0.000000	0.007935	-0.009216
0.000000	-0.004883	-0.012421
0.000000	-0.010986	-0.012421
0.000000	-0.004883	-0.012421
0.000000	-0.004883	-0.010498
0.000000	-0.004883	-0.012726
0.000000	-0.004883	-0.010193
0.000000	-0.010986	-0.010834
0.000000	-0.004883	-0.010193
0.000000	0.014038	-0.012726
0.000000	0.007935	-0.010834
0.000000	-0.017700	-0.012421
0.000000	0.001221	-0.010498
0.000000	-0.004883	-0.012726
0.000000	-0.004883	-0.011139
0.000000	0.001221	-0.011475
0.000000	-0.004883	-0.010834
0.000000	-0.010986	-0.010193
0.000000	0.007935	-0.011780
0.000000	0.014038	-0.013062
0.000000	-0.010986	-0.009552
0.000000	0.001221	-0.013062
0.000000	-0.004883	-0.011139
0.000000	0.001221	-0.010834
0.000000	0.001221	-0.012421
0.000000	-0.004883	-0.010193
0.000000	0.007935	-0.009857
0.000000	0.007935	-0.011780
0.000000	-0.010986	-0.011139
0.000000	0.007935	-0.012421
0.000000	-0.004883	-0.009552
0.000000	0.001221	-0.011475
0.000000	0.001221	-0.010193
0.000000	-0.010986	-0.013062
0.000000	0.001221	-0.010498
0.000000	0.001221	-0.011780
0.000000	-0.004883	-0.010498
0.000000	0.001221	-0.011139
0.000000	-0.004883	-0.011780
0.000000	-0.004883	-0.011139
0.000000	-0.004883	-0.008911
0.000000	-0.010986	-0.012421
0.000000	0.007935	-0.010834
0.000000	0.007935	-0.010498
0.000000	-0.004883	-0.010193
0.000000	-0.010986	-0.010834
0.000000	-0.004883	-0.010834
0.000000	0.001221	-0.010498
0.000000	0.001221	-0.010193
0.000000	0.014038	-0.013367
0.000000	-0.004883	-0.008911
0.000000	-0.010986	-0.012726
0.000000	0.007935	-0.011139
0.000000	0.007935	-0.014008
0.000000	-0.010986	-0.012085
0.000000	-0.004883	-0.012726
0.000000	-0.004883	-0.010498
0.000000	-0.004883	-0.010834
0.000000	0.007935	-0.012085
0.000000	-0.004883	-0.014648
0.000000	-0.010986	-0.009216
0.000000	0.001221	-0.013062
0.000000	-0.017700	-0.010834
0.000000	-0.004883	-0.009857
0.000000	-0.004883	-0.011475
0.000000	-0.004883	-0.011139
0.000000	-0.004883	-0.012085
0.000000	-0.004883	-0.011475
0.000000	0.014038	-0.012085
0.000000	0.001221	-0.010834
0.000000	-0.004883	-0.010193
0.000000	-0.010986	-0.010834
0.000000	0.014038	-0.013062
0.000000	0.007935	-0.012421
0.000000	0.001221	-0.012726
0.000000	-0.010986	-0.011139
0.000000	-0.017700	-0.010193
0.000000	-0.010986	-0.011475
0.000000	-0.004883	-0.011780
0.000000	0.001221	-0.013062
0.000000	0.001221	-0.011139
0.000000	0.007935	-0.013367
0.000000	-0.004883	-0.011475
0.000000	0.001221	-0.008911
0.000000	0.001221	-0.011780
0.000000	0.001221	-0.011475
0.000000	-0.004883	-0.011780
0.000000	-0.004883	-0.010498
0.000000	0.001221	-0.011475
0.000000	-0.004883	-0.010193
0.000000	0.007935	-0.010834
0.000000	-0.004883	-0.010498
0.000000	0.014038	-0.012726
0.000000	-0.004883	-0.010834
0.000000	0.007935	-0.012726
0.000000	-0.004883	-0.010834
0.000000	-0.010986	-0.010834
0.000000	-0.004883	-0.008911
0.000000	0.001221	-0.013367
0.000000	-0.004883	-0.013062
0.000000	0.014038	-0.012421
0.000000	-0.004883	-0.011475
0.000000	0.007935	-0.013702
0.000000	0.001221	-0.010498
0.000000	0.014038	-0.012421
0.000000	-0.010986	-0.010834
0.000000	-0.004883	-0.010498
0.000000	-0.004883	-0.009857
0.000000	0.007935	-0.012726
0.000000	0.001221	-0.009857
0.000000	-0.004883	-0.011139
0.000000	0.001221	-0.011139
0.000000	0.001221	-0.012421
0.000000	0.014038	-0.010834
0.000000	-0.004883	-0.011780
0.000000	-0.004883	-0.009552
0.000000	0.007935	-0.012421
0.000000	-0.004883	-0.010834
0.000000	0.014038	-0.013367
0.000000	0.014038	-0.012421
0.000000	-0.004883	-0.013062
0.000000	0.001221	-0.011139
0.000000	0.001221	-0.013702
0.000000	0.001221	-0.010193
0.000000	-0.004883	-0.013367
0.000000	-0.004883	-0.011475
0.000000	-0.004883	-0.010834
0.000000	0.007935	-0.011475
0.000000	0.014038	-0.012726
0.000000	0.001221	-0.010193
0.000000	0.001221	-0.010498
0.000000	0.001221	-0.010834
0.000000	0.001221	-0.011780
0.000000	-0.017700	-0.010193
0.000000	-0.010986	-0.013062
0.000000	-0.010986	-0.012085
0.000000	-0.004883	-0.011139
0.000000	0.007935	-0.011780
0.000000	-0.017700	-0.013367
0.000000	-0.010986	-0.012726
0.000000	-0.004883	-0.011475
0.000000	0.014038	-0.012726
0.000000	0.001221	-0.013062
0.000000	-0.004883	-0.011139
0.000000	-0.004883	-0.012726
0.000000	0.001221	-0.011475
0.000000	-0.004883	-0.010193
0.000000	-0.017700	-0.011139
0.000000	0.007935	-0.013367
0.000000	0.014038	-0.010193
0.000000	-0.004883	-0.010498
0.000000	-0.004883	-0.011475
0.000000	-0.004883	-0.012421
0.000000	-0.004883	-0.010498
0.000000	-0.004883	-0.012085
0.000000	-0.004883	-0.010193
0.000000	0.001221	-0.011139
0.000000	0.007935	-0.011475
0.000000	0.007935	-0.009552
0.000000	-0.004883	-0.010834
0.000000	0.001221	-0.011139
0.000000	-0.004883	-0.012421
0.000000	0.007935	-0.012726
0.000000	0.001221	-0.011475
0.000000	-0.017700	-0.011139
0.000000	0.014038	-0.012421
0.000000	0.001221	-0.010834
0.000000	0.001221	-0.011475
0.000000	-0.004883	-0.011475
0.000000	0.007935	-0.012085
0.000000	-0.004883	-0.010834
0.000000	-0.004883	-0.012085
0.000000	-0.004883	-0.011139
0.000000	-0.030518	-0.010834
0.000000	-0.010986	-0.009857
0.000000	0.014038	-0.010193
0.000000	-0.004883	-0.010498
0.000000	-0.004883	-0.012421
0.000000	0.001221	-0.009857
0.000000	-0.010986	-0.011139
0.000000	-0.004883	-0.010834
0.000000	-0.010986	-0.012421
0.000000	0.007935	-0.013367
0.000000	0.001221	-0.012421
0.000000	0.001221	-0.012421
0.000000	0.014038	-0.011139
0.000000	-0.004883	-0.010834
0.000000	-0.010986	-0.012421
0.000000	0.007935	-0.010193
0.000000	-0.004883	-0.012085
0.000000	-0.004883	-0.011139
0.000000	-0.017700	-0.011475
0.000000	0.001221	-0.011139
0.000000	0.001221	-0.010834
0.000000	0.001221	-0.009857
0.000000	-0.004883	-0.011475
0.000000	0.001221	-0.010193
0.000000	-0.004883	-0.012421
0.000000	-0.004883	-0.010834
0.000000	-0.004883	-0.011475
0.000000	0.020752	-0.012085
0.000000	-0.004883	-0.012421
0.000000	-0.004883	-0.013062
0.000000	-0.004883	-0.011475
0.000000	0.007935	-0.012085
0.000000	-0.004883	-0.013702
0.000000	0.001221	-0.009857
0.000000	-0.010986	-0.010834
0.000000	-0.010986	-0.011139
0.000000	0.001221	-0.011139
0.000000	-0.010986	-0.009857
0.000000	0.007935	-0.011780
0.000000	0.001221	-0.010193
0.000000	-0.004883	-0.012726
0.000000	-0.004883	-0.011475
0.000000	0.007935	-0.012726
0.000000	-0.010986	-0.010193
0.000000	-0.004883	-0.012726
0.000000	-0.004883	-0.010834
0.000000	-0.017700	-0.012085
0.000000	-0.004883	-0.011139
0.000000	0.007935	-0.011475
0.000000	0.007935	-0.011475
0.000000	0.001221	-0.012726
0.000000	-0.004883	-0.011139
0.000000	0.001221	-0.012421
0.000000	-0.004883	-0.009857
0.000000	0.001221	-0.012085
0.000000	-0.004883	-0.010498
0.000000	-0.004883	-0.011139
0.000000	0.001221	-0.010498
0.000000	0.001221	-0.011475
0.000000	0.014038	-0.011475
0.000000	0.001221	-0.012421
0.000000	0.020752	-0.011139
0.000000	-0.004883	-0.014648
0.000000	0.014038	-0.010834
0.000000	0.001221	-0.012421
0.000000	0.001221	-0.011139
0.000000	0.001221	-0.010834
0.000000	0.001221	-0.010193
0.000000	0.007935	-0.014008
0.000000	-0.017700	-0.013367
0.000000	0.001221	-0.012726
0.000000	0.007935	-0.012421
0.000000	0.007935	-0.013702
0.000000	0.001221	-0.011475
0.000000	-0.004883	-0.011475
0.000000	-0.004883	-0.010498
0.000000	-0.004883	-0.012085
0.000000	-0.004883	-0.011475
0.000000	0.001221	-0.013062
0.000000	-0.004883	-0.011139
0.000000	0.007935	-0.011780
0.000000	0.001221	-0.011139
0.000000	-0.004883	-0.014343
0.000000	-0.004883	-0.012085
0.000000	-0.004883	-0.013062
0.000000	-0.017700	-0.010498
0.000000	-0.004883	-0.012085
0.000000	0.007935	-0.012085
0.000000	0.001221	-0.013702
0.000000	0.007935	-0.013062
0.000000	-0.004883	-0.011475
0.000000	-0.004883	-0.010498
0.000000	-0.004883	-0.011139
0.000000	-0.004883	-0.010498
0.000000	-0.004883	-0.012726
0.000000	-0.010986	-0.010193
0.000000	0.007935	-0.012726
0.000000	-0.010986	-0.010193
0.000000	-0.004883	-0.012085
0.000000	-0.017700	-0.011475
0.000000	0.001221	-0.011475
0.000000	-0.004883	-0.009857
0.000000	-0.004883	-0.014008
0.000000	0.001221	-0.010498
0.000000	0.007935	-0.012421
0.000000	0.001221	-0.010498
0.000000	0.001221	-0.012085
0.000000	-0.004883	-0.009216
0.000000	0.007935	-0.013367
0.000000	-0.004883	-0.010834
0.000000	-0.004883	-0.011139
0.000000	-0.004883	-0.010834
0.000000	-0.004883	-0.014008
0.000000	-0.004883	-0.010834
0.000000	-0.004883	-0.012726
0.000000	0.001221	-0.009552
0.000000	0.014038	-0.012421
0.000000	0.007935	-0.010498
0.000000	0.007935	-0.012421
0.000000	0.001221	-0.010498
0.000000	-0.010986	-0.012085
0.000000	0.007935	-0.011780
0.000000	0.001221	-0.014008
0.000000	-0.004883	-0.009857
0.000000	-0.010986	-0.014008
0.000000	0.007935	-0.010193
0.000000	-0.004883	-0.012421
0.000000	-0.004883	-0.012421
0.000000	0.001221	-0.010193
0.000000	0.001221	-0.011475
0.000000	0.007935	-0.012726
0.000000	0.014038	-0.012726
0.000000	0.007935	-0.014648
0.000000	0.007935	-0.010193
0.000000	-0.004883	-0.011475
0.000000	0.001221	-0.010498
0.000000	-0.023804	-0.011475
0.000000	-0.004883	-0.010193
0.000000	0.001221	-0.012726
0.000000	-0.010986	-0.010834
0.000000	-0.010986	-0.010834
0.000000	-0.004883	-0.010498
0.000000	-0.004883	-0.014008
0.000000	-0.004883	-0.010193
0.000000	0.007935	-0.013702
0.000000	0.001221	-0.009857
0.000000	-0.010986	-0.011780
0.000000	-0.004883	-0.012726
0.000000	-0.004883	-0.010834
0.000000	-0.010986	-0.010834
0.000000	-0.004883	-0.011475
0.000000	0.001221	-0.012726
0.000000	0.001221	-0.014343
0.000000	-0.017700	-0.010498
0.000000	-0.004883	-0.012421
0.000000	-0.010986	-0.010193
0.000000	-0.004883	-0.010498
0.000000	-0.017700	-0.010193
0.000000	-0.017700	-0.010498
0.000000	-0.004883	-0.009857
0.000000	-0.004883	-0.012421
0.000000	0.001221	-0.012085
0.000000	-0.004883	-0.013702
0.000000	-0.004883	-0.009552
0.000000	-0.010986	-0.012085
0.000000	-0.004883	-0.011475
0.000000	-0.017700	-0.011139
0.000000	0.007935	-0.011780
0.000000	0.001221	-0.011475
0.000000	-0.004883	-0.011139
0.000000	0.007935	-0.012085
0.000000	0.014038	-0.011475
0.000000	0.014038	-0.013062
0.000000	0.001221	-0.009552
0.000000	0.007935	-0.012421
0.000000	0.001221	-0.010193
0.000000	0.020752	-0.010834
0.000000	-0.010986	-0.010498
0.000000	0.001221	-0.011139
0.000000	-0.004883	-0.011475
0.000000	-0.004883	-0.012726
0.000000	-0.004883	-0.011780
0.000000	0.014038	-0.012726
0.000000	-0.004883	-0.009552
0.000000	0.001221	-0.012726
0.000000	-0.004883	-0.012726
0.000000	-0.010986	-0.012726
0.000000	-0.004883	-0.012085
0.000000	0.001221	-0.012421
0.000000	-0.004883	-0.011139
0.000000	0.001221	-0.011475
0.000000	0.001221	-0.012085
0.000000	0.014038	-0.013702
0.000000	-0.004883	-0.010834
0.000000	-0.004883	-0.013062
0.000000	-0.004883	-0.012726
0.000000	0.001221	-0.009552
0.000000	-0.017700	-0.012421
0.000000	-0.004883	-0.011139
0.000000	-0.004883	-0.010498
0.000000	-0.004883	-0.013062
0.000000	0.001221	-0.011780
0.000000	-0.004883	-0.013062
0.000000	-0.010986	-0.009552
0.000000	0.001221	-0.011475
0.000000	-0.004883	-0.012726
0.000000	-0.010986	-0.013062
0.000000	-0.004883	-0.012085
0.000000	-0.004883	-0.012085
0.000000	-0.004883	-0.011139
0.000000	0.001221	-0.011139
0.000000	0.007935	-0.012085
0.000000	-0.004883	-0.014008
0.000000	-0.004883	-0.010498
0.000000	0.001221	-0.010498
0.000000	0.001221	-0.011780
0.000000	0.007935	-0.010193
0.000000	0.001221	-0.011475
0.000000	-0.010986	-0.012726
0.000000	-0.004883	-0.011139
0.000000	-0.010986	-0.012421
0.000000	-0.004883	-0.010498
0.000000	0.020752	-0.013062
0.000000	-0.004883	-0.011475
0.000000	0.001221	-0.008606
0.000000	-0.004883	-0.012726
0.000000	-0.010986	-0.012085
0.000000	-0.010986	-0.013367
0.000000	-0.017700	-0.012421
0.000000	0.001221	-0.010834
0.000000	-0.004883	-0.011475
0.000000	0.014038	-0.012421
0.000000	-0.004883	-0.013367
0.000000	0.001221	-0.010193
0.000000	-0.010986	-0.009552
0.000000	0.007935	-0.012085
0.000000	0.001221	-0.011139
0.000000	-0.017700	-0.010834
0.000000	0.001221	-0.010498
0.000000	0.007935	-0.009857
0.000000	0.001221	-0.013062
0.000000	0.001221	-0.010834
0.000000	-0.004883	-0.010834
0.000000	-0.004883	-0.010193
0.000000	0.007935	-0.010834
0.000000	-0.004883	-0.012421
0.000000	-0.004883	-0.014008
0.000000	0.001221	-0.010193
0.000000	0.007935	-0.013062
0.000000	-0.004883	-0.010498
0.000000	-0.004883	-0.012421
0.000000	0.007935	-0.010498
0.000000	0.007935	-0.011475
0.000000	-0.004883	-0.012085
0.000000	0.001221	-0.010498
0.000000	0.014038	-0.011780
0.000000	-0.004883	-0.010834
0.000000	0.007935	-0.008911
0.000000	-0.004883	-0.011139
0.000000	0.001221	-0.011139
0.000000	0.001221	-0.013367
0.000000	0.001221	-0.011780
0.000000	-0.004883	-0.012726
0.000000	0.007935	-0.011139
0.000000	-0.030518	-0.011475
0.000000	0.001221	-0.012421
0.000000	0.007935	-0.013367
0.000000	0.001221	-0.011475
0.000000	0.001221	-0.014343
0.000000	-0.017700	-0.010834
0.000000	-0.004883	-0.011475
0.000000	0.001221	-0.012085
0.000000	-0.010986	-0.009857
0.000000	-0.017700	-0.010193
0.000000	-0.010986	-0.011139
0.000000	-0.004883	-0.011139
0.000000	0.001221	-0.012726
0.000000	-0.004883	-0.010834
0.000000	-0.004883	-0.012085
0.000000	-0.004883	-0.011139
0.000000	0.007935	-0.014008
0.000000	-0.010986	-0.011475
0.000000	0.001221	-0.010834
0.000000	-0.004883	-0.012085
0.000000	-0.004883	-0.012085
0.000000	0.007935	-0.011780
0.000000	0.007935	-0.013702
0.000000	-0.004883	-0.009552
0.000000	0.001221	-0.012421
0.000000	-0.010986	-0.011139
0.000000	-0.004883	-0.009552
0.000000	0.001221	-0.010193
0.000000	0.001221	-0.010834
0.000000	0.001221	-0.009857
0.000000	0.001221	-0.012421
0.000000	-0.004883	-0.011475
0.000000	-0.004883	-0.012421
0.000000	-0.004883	-0.010498
0.000000	0.001221	-0.013702
0.000000	-0.004883	-0.011780
0.000000	0.001221	-0.011780
0.000000	-0.010986	-0.012085
0.000000	-0.023804	-0.011780
0.000000	-0.004883	-0.011139
0.000000	0.001221	-0.011475
0.000000	0.007935	-0.010834
0.000000	-0.010986	-0.012726
0.000000	0.001221	-0.011780
0.000000	0.001221	-0.013367
0.000000	0.007935	-0.011475
0.000000	-0.004883	-0.010193
0.000000	0.014038	-0.012421
0.000000	-0.004883	-0.010834
0.000000	0.001221	-0.011475
0.000000	-0.004883	-0.011475
0.000000	-0.004883	-0.010498
0.000000	0.007935	-0.012726
0.000000	0.014038	-0.010193
0.000000	-0.004883	-0.011780
0.000000	0.001221	-0.013062
0.000000	-0.004883	-0.012085
0.000000	0.001221	-0.011139
0.000000	-0.004883	-0.010193
0.000000	-0.017700	-0.009857
0.000000	0.001221	-0.010498
0.000000	-0.004883	-0.012421
0.000000	-0.004883	-0.013062
0.000000	-0.017700	-0.011475
0.000000	0.014038	-0.011475
0.000000	-0.004883	-0.013062
0.000000	-0.023804	-0.009857
0.000000	0.007935	-0.012085
0.000000	-0.010986	-0.010834
0.000000	-0.004883	-0.011475
0.000000	0.007935	-0.010193
0.000000	0.001221	-0.010498
0.000000	-0.004883	-0.010193
0.000000	0.001221	-0.008911
0.000000	-0.017700	-0.010834
0.000000	0.014038	-0.012085
0.000000	-0.004883	-0.009552
0.000000	0.001221	-0.012085
0.000000	-0.010986	-0.010834
0.000000	-0.004883	-0.012085
0.000000	-0.004883	-0.012421
0.000000	-0.010986	-0.011780
0.000000	-0.010986	-0.013367
0.000000	-0.010986	-0.012726
0.000000	0.001221	-0.011780
0.000000	0.001221	-0.012085
0.000000	-0.004883	-0.010834
0.000000	-0.010986	-0.012421
0.000000	-0.004883	-0.009857
0.000000	0.001221	-0.011475
0.000000	-0.004883	-0.010498
0.000000	-0.004883	-0.011139
0.000000	0.001221	-0.011475
0.000000	-0.017700	-0.012421
0.000000	-0.004883	-0.010193
0.000000	-0.004883	-0.014343
0.000000	0.001221	-0.012085
0.000000	0.007935	-0.013062
0.000000	-0.010986	-0.012726
0.000000	-0.004883	-0.011139
0.000000	-0.010986	-0.012726
0.000000	0.007935	-0.013062
0.000000	-0.004883	-0.012085
0.000000	-0.010986	-0.011780
0.000000	0.014038	-0.012726
0.000000	0.001221	-0.013062
0.000000	0.001221	-0.009552
0.000000	0.001221	-0.010834
0.000000	-0.004883	-0.010834
0.000000	-0.004883	-0.010834
